id,published_at,name,url,alternate_url,professional_roles,salary.from,salary.to,salary.currency,salary.gross,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,employer.name,employer.accredited_it_employer,schedule.name,experience.name,department.name,job_type,intern,junior,middle,senior,lead,net_salary_from_rur,net_salary_to_rur,salary_info,date_published
88574007,2023-10-24T11:20:50+0300,Junior Data Scientist в Softline digital,https://api.hh.ru/vacancies/88574007?host=hh.ru,https://hh.ru/vacancy/88574007,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Softline,True,Полный день,От 1 года до 3 лет,,DS,0,1,0,0,0,,,0,2023-10-24
88607065,2023-10-24T22:56:49+0300,Data science LLM,https://api.hh.ru/vacancies/88607065?host=hh.ru,https://hh.ru/vacancy/88607065,"[{'id': '40', 'name': 'Другое'}]",350000.0,500000.0,RUR,False,,,,,,Fork IT,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,350000.0,500000.0,1,2023-10-24
88513132,2023-10-26T10:51:06+0300,Data Scientist (decision making and portfolio quality control instruments),https://api.hh.ru/vacancies/88513132?host=hh.ru,https://hh.ru/vacancy/88513132,"[{'id': '165', 'name': 'Дата-сайентист'}]",80000.0,,RUR,True,,,,,,Bro22,False,Полный день,Нет опыта,,DS,1,0,0,0,0,69600.0,,1,2023-10-26
88708619,2023-10-26T22:06:43+0300,Data Scientist,https://api.hh.ru/vacancies/88708619?host=hh.ru,https://hh.ru/vacancy/88708619,"[{'id': '165', 'name': 'Дата-сайентист'}]",300000.0,,RUR,True,,,,,,Open Hiring,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,261000.0,,1,2023-10-26
88453146,2023-10-20T13:37:14+0300,Data Scientist (Junior),https://api.hh.ru/vacancies/88453146?host=hh.ru,https://hh.ru/vacancy/88453146,"[{'id': '96', 'name': 'Программист, разработчик'}]",60000.0,100000.0,RUR,False,55.753752,37.558832,"Москва, Краснопресненская набережная",Улица 1905 года,Таганско-Краснопресненская,Строительный Двор,False,Полный день,От 1 года до 3 лет,,DS,0,1,0,0,0,60000.0,100000.0,1,2023-10-20
88545814,2023-10-23T16:59:23+0300,ML аналитик,https://api.hh.ru/vacancies/88545814?host=hh.ru,https://hh.ru/vacancy/88545814,"[{'id': '10', 'name': 'Аналитик'}]",,,,,55.740999,37.609613,"Москва, Берсеневский переулок, 2с1",,,КБ Стрелка,False,Полный день,От 1 года до 3 лет,,MLE or DS,0,1,1,0,0,,,0,2023-10-23
88628974,2023-10-25T11:46:42+0300,Data аналитик / Data scientist,https://api.hh.ru/vacancies/88628974?host=hh.ru,https://hh.ru/vacancy/88628974,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",,,,,,,,,,"Иннотех, Группа компаний",False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-25
88623750,2023-10-25T10:44:00+0300,ML-engineer / ML engineer,https://api.hh.ru/vacancies/88623750?host=hh.ru,https://hh.ru/vacancy/88623750,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,55.778993,37.587182,"Москва, 4-й Лесной переулок, 4",Белорусская,Кольцевая,ИВ РОШЕ,False,Полный день,От 1 года до 3 лет,,MLE,0,1,1,0,0,,,0,2023-10-25
88094055,2023-10-12T12:29:33+0300,Junior ML Ops Engineer,https://api.hh.ru/vacancies/88094055?host=hh.ru,https://hh.ru/vacancy/88094055,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,,,ЦИТМ Экспонента,False,Удаленная работа,От 1 года до 3 лет,,MLE,0,1,0,0,0,,,0,2023-10-12
88431806,2023-10-20T09:54:47+0300,Junior Data Scientist,https://api.hh.ru/vacancies/88431806?host=hh.ru,https://hh.ru/vacancy/88431806,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.742306,37.523743,"Москва, Кутузовский проспект, 36с6",,,СБЕР (ООО еАптека),False,Полный день,От 1 года до 3 лет,,DS,0,1,0,0,0,,,0,2023-10-20
88054843,2023-10-11T16:18:24+0300,"Аналитик данных / Data scientist, удаленно",https://api.hh.ru/vacancies/88054843?host=hh.ru,https://hh.ru/vacancy/88054843,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,ВкусВилл,False,Удаленная работа,От 1 года до 3 лет,ВкусВилл. Офис,DS,0,1,1,0,0,,,0,2023-10-11
88656252,2023-10-25T22:24:28+0300,Математик-программист / Data Scientist,https://api.hh.ru/vacancies/88656252?host=hh.ru,https://hh.ru/vacancy/88656252,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,"Москва, Пресненская набережная, 6 стр.2, Башня Империя",,,OKKAM,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-25
88186907,2023-10-15T23:29:00+0300,Экономист-аналитик (junior data scientist),https://api.hh.ru/vacancies/88186907?host=hh.ru,https://hh.ru/vacancy/88186907,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.769145,37.643183,"Москва, проспект Академика Сахарова, 12",,,Аналитический центр при Правительстве Российской Федерации,False,Полный день,Нет опыта,,DS,0,1,0,0,0,,,0,2023-10-15
88347749,2023-10-25T09:58:38+0300,Инженер / Data Scientist,https://api.hh.ru/vacancies/88347749?host=hh.ru,https://hh.ru/vacancy/88347749,"[{'id': '96', 'name': 'Программист, разработчик'}]",98000.0,,RUR,True,55.765027,37.617276,"Москва, улица Петровка, 24",,,ГБУЗ «Научно-практический клинический центр диагностики и телемедицинских технологий ДЗМ»,False,Полный день,Нет опыта,,DS,1,0,0,0,0,85260.0,,1,2023-10-25
87797917,2023-10-05T17:24:48+0300,Data scientist,https://api.hh.ru/vacancies/87797917?host=hh.ru,https://hh.ru/vacancy/87797917,"[{'id': '165', 'name': 'Дата-сайентист'}]",150000.0,,RUR,False,,,,,,Веблок,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,150000.0,,1,2023-10-05
87692174,2023-10-04T01:47:46+0300,Аналитик данных ML/Data Science,https://api.hh.ru/vacancies/87692174?host=hh.ru,https://hh.ru/vacancy/87692174,"[{'id': '165', 'name': 'Дата-сайентист'}]",,150000.0,RUR,False,55.796415,37.616584,"Москва, 3-й проезд Марьиной Рощи",Марьина Роща,Люблинско-Дмитровская,Аналитические программные решения,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,150000.0,1,2023-10-04
88137291,2023-10-13T10:18:44+0300,Стажер Data Scientist,https://api.hh.ru/vacancies/88137291?host=hh.ru,https://hh.ru/vacancy/88137291,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,Нет опыта,Сбер для экспертов,DS,1,0,0,0,0,,,0,2023-10-13
88598293,2023-10-24T16:39:20+0300,Junior Data Scientist,https://api.hh.ru/vacancies/88598293?host=hh.ru,https://hh.ru/vacancy/88598293,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,,,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер. Data Science,DS,0,1,0,0,0,,,0,2023-10-24
88365358,2023-10-18T19:19:14+0300,Стажер Data scientist,https://api.hh.ru/vacancies/88365358?host=hh.ru,https://hh.ru/vacancy/88365358,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,55.741338,37.531127,"Москва, Кутузовский проспект, 32к1",Кутузовская,Филевская,СБЕР,False,Полный день,Нет опыта,Сбер. IT,DS,1,0,0,0,0,,,0,2023-10-18
88730950,2023-10-27T10:17:16+0300,ML-аналитик,https://api.hh.ru/vacancies/88730950?host=hh.ru,https://hh.ru/vacancy/88730950,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.741338,37.531127,"Москва, Кутузовский проспект, 32к1",Кутузовская,Филевская,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер. Data Science,MLE or DS,0,1,1,0,0,,,0,2023-10-27
86646529,2023-10-13T09:35:15+0300,"Data Scientist (NLP, NER)",https://api.hh.ru/vacancies/86646529?host=hh.ru,https://hh.ru/vacancy/86646529,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.807709,37.478037,"Москва, Щукинская улица, 5с6",Покровское,МЦД - 2,ФГБУ ЦСП ФМБА России,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-13
88595607,2023-10-24T16:00:47+0300,"Data Scientist, Маркетплейс, Контент и товары",https://api.hh.ru/vacancies/88595607?host=hh.ru,https://hh.ru/vacancy/88595607,"[{'id': '40', 'name': 'Другое'}]",,,,,55.74723295660558,37.536558290665916,"Москва, Пресненская набережная, 10",Деловой центр,Большая кольцевая линия,Ozon,False,Полный день,От 1 года до 3 лет,Ozon Информационные технологии,DS,0,1,1,0,0,,,0,2023-10-24
88587327,2023-10-24T14:10:41+0300,Data scientist,https://api.hh.ru/vacancies/88587327?host=hh.ru,https://hh.ru/vacancy/88587327,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Ростелеком,False,Удаленная работа,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-24
87786868,2023-10-26T14:41:07+0300,Junior Machine learning Engineer (remote),https://api.hh.ru/vacancies/87786868?host=hh.ru,https://hh.ru/vacancy/87786868,"[{'id': '96', 'name': 'Программист, разработчик'}]",40000.0,,RUR,False,55.796471,37.609919,"Москва, 3-й проезд Марьиной Рощи, 40с1",,,Инфотек,False,Удаленная работа,От 1 года до 3 лет,,MLE,0,1,0,0,0,40000.0,,1,2023-10-26
88224349,2023-10-16T12:59:55+0300,Data Scientist,https://api.hh.ru/vacancies/88224349?host=hh.ru,https://hh.ru/vacancy/88224349,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер. Data Science,DS,0,1,1,0,0,,,0,2023-10-16
87993734,2023-10-10T15:45:52+0300,Data Scientist,https://api.hh.ru/vacancies/87993734?host=hh.ru,https://hh.ru/vacancy/87993734,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Ventra IT Solutions,True,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-10
88594400,2023-10-24T15:42:43+0300,Intern Data Scientist,https://api.hh.ru/vacancies/88594400?host=hh.ru,https://hh.ru/vacancy/88594400,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 3 до 6 лет,Сбер для экспертов,DS,1,0,0,0,0,,,0,2023-10-24
88703839,2023-10-26T17:38:32+0300,Data Scientist,https://api.hh.ru/vacancies/88703839?host=hh.ru,https://hh.ru/vacancy/88703839,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СИНЕРГИЯ,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-26
88456056,2023-10-20T14:15:06+0300,Data Scientist,https://api.hh.ru/vacancies/88456056?host=hh.ru,https://hh.ru/vacancy/88456056,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,ИЦ АЙ-ТЕКО,False,Удаленная работа,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-20
